epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.43,1.89185,4.86015,1.24721,0.57178,0.05743,0.03396,0.02297,1.65536,3.39693,1.0477,3.16216e-05,3.16216e-05,3.16216e-05
2,173.147,1.665,3.47369,1.0887,0.52119,0.09469,0.06028,0.04184,1.50479,2.7882,1.00117,6.07821e-05,6.07821e-05,6.07821e-05
3,213.91,1.54261,3.00941,1.04859,0.42057,0.12753,0.08392,0.06049,1.41302,2.50396,0.97318,8.74345e-05,8.74345e-05,8.74345e-05
4,254.927,1.48534,2.79796,1.03087,0.43239,0.16061,0.10621,0.07616,1.36836,2.34659,0.95974,8.3714e-05,8.3714e-05,8.3714e-05
5,294.931,1.44393,2.63754,1.0209,0.41887,0.18221,0.1303,0.0953,1.33656,2.22793,0.955,7.9952e-05,7.9952e-05,7.9952e-05
6,335.463,1.42836,2.53019,1.01152,0.40743,0.1895,0.15305,0.11044,1.32431,2.12787,0.94621,7.619e-05,7.619e-05,7.619e-05
7,375.78,1.40058,2.41,1.00524,0.44446,0.21241,0.17068,0.12373,1.32516,2.0578,0.94652,7.2428e-05,7.2428e-05,7.2428e-05
8,435.054,1.37857,2.33701,0.99808,0.40912,0.22914,0.1892,0.13821,1.29855,2.00556,0.94524,6.8666e-05,6.8666e-05,6.8666e-05
9,477.852,1.37686,2.25336,0.99413,0.41866,0.24374,0.20444,0.15022,1.29117,1.94989,0.93944,6.4904e-05,6.4904e-05,6.4904e-05
10,519.219,1.3608,2.21017,0.98775,0.48678,0.24695,0.2185,0.16006,1.28128,1.87259,0.93709,6.1142e-05,6.1142e-05,6.1142e-05
11,560.262,1.35228,2.14652,0.98825,0.43421,0.25164,0.22083,0.16135,1.27314,1.86104,0.93687,5.738e-05,5.738e-05,5.738e-05
12,623.634,1.35441,2.10191,0.98624,0.48068,0.24636,0.2258,0.16545,1.26978,1.82305,0.9349,5.3618e-05,5.3618e-05,5.3618e-05
13,669.803,1.34133,2.06376,0.98222,0.50844,0.26173,0.24813,0.18251,1.25507,1.77901,0.93335,4.9856e-05,4.9856e-05,4.9856e-05
14,711.309,1.33658,2.03994,0.98171,0.40128,0.29234,0.24981,0.18401,1.2493,1.76927,0.93269,4.6094e-05,4.6094e-05,4.6094e-05
15,752.535,1.32399,1.9819,0.97949,0.48143,0.28084,0.25824,0.19054,1.25845,1.73372,0.92896,4.2332e-05,4.2332e-05,4.2332e-05
16,793.795,1.27977,2.05043,0.95293,0.50522,0.26194,0.26129,0.19352,1.25042,1.7049,0.92813,3.857e-05,3.857e-05,3.857e-05
17,833.485,1.26874,1.96501,0.94917,0.50277,0.26635,0.26545,0.19532,1.2479,1.68502,0.92909,3.4808e-05,3.4808e-05,3.4808e-05
18,872.718,1.26911,1.93767,0.95034,0.49477,0.27157,0.27034,0.19922,1.23857,1.66761,0.9279,3.1046e-05,3.1046e-05,3.1046e-05
19,912.32,1.26247,1.91394,0.94909,0.4834,0.29081,0.27813,0.20409,1.24257,1.65204,0.92692,2.7284e-05,2.7284e-05,2.7284e-05
20,951.63,1.25406,1.88544,0.94837,0.45744,0.30035,0.27946,0.20744,1.23076,1.63792,0.92499,2.3522e-05,2.3522e-05,2.3522e-05
21,990.978,1.25305,1.85533,0.94423,0.48334,0.31078,0.2853,0.21195,1.22978,1.62726,0.92526,1.976e-05,1.976e-05,1.976e-05
22,1030.37,1.25263,1.84062,0.94651,0.50096,0.31094,0.28612,0.21242,1.23722,1.62081,0.92435,1.5998e-05,1.5998e-05,1.5998e-05
23,1069.5,1.24958,1.82286,0.9451,0.4781,0.31237,0.29024,0.21472,1.22899,1.61274,0.92351,1.2236e-05,1.2236e-05,1.2236e-05
24,1108.66,1.24086,1.80743,0.94222,0.48643,0.3061,0.28811,0.21339,1.22607,1.60208,0.92517,8.474e-06,8.474e-06,8.474e-06
25,1147.79,1.24253,1.79068,0.94369,0.47328,0.31355,0.29178,0.217,1.22666,1.59926,0.92301,4.712e-06,4.712e-06,4.712e-06
