epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0775,1.99305,5.55503,1.32543,0.01008,0.01639,0.00696,0.00519,1.69142,5.03183,1.03352,3.13068e-05,3.13068e-05,3.13068e-05
2,71.258,1.76137,4.55479,1.09289,0.53865,0.05129,0.03275,0.02383,1.67939,3.53254,1.03437,6.04797e-05,6.04797e-05,6.04797e-05
3,106.856,1.69971,3.57811,1.07305,0.43284,0.0818,0.05488,0.0378,1.58202,2.87424,1.01436,8.71447e-05,8.71447e-05,8.71447e-05
4,142.068,1.58978,2.97573,1.04209,0.34768,0.12939,0.08231,0.05886,1.46713,2.52649,0.99627,8.3714e-05,8.3714e-05,8.3714e-05
5,177.585,1.5116,2.71957,1.0301,0.4079,0.15279,0.11442,0.08186,1.40159,2.23919,0.98129,7.9952e-05,7.9952e-05,7.9952e-05
6,212.989,1.46434,2.51148,1.01729,0.45683,0.17482,0.15324,0.11397,1.37293,2.11688,0.97411,7.619e-05,7.619e-05,7.619e-05
7,248.123,1.44089,2.36809,1.00944,0.44785,0.2034,0.18598,0.13685,1.34312,2.00429,0.96365,7.2428e-05,7.2428e-05,7.2428e-05
8,283.277,1.39936,2.24124,1.00174,0.46552,0.22794,0.20899,0.15201,1.32488,1.91298,0.963,6.8666e-05,6.8666e-05,6.8666e-05
9,318.77,1.39035,2.14351,0.99854,0.46536,0.255,0.2235,0.1623,1.31323,1.81539,0.95979,6.4904e-05,6.4904e-05,6.4904e-05
10,353.883,1.37622,2.06763,0.99268,0.46278,0.26107,0.2365,0.17018,1.29302,1.79947,0.95471,6.1142e-05,6.1142e-05,6.1142e-05
11,389.068,1.36943,2.0149,0.99061,0.49042,0.26096,0.24938,0.17885,1.29651,1.74286,0.95103,5.738e-05,5.738e-05,5.738e-05
12,424.126,1.34835,1.93778,0.98402,0.54179,0.28235,0.27208,0.19654,1.2804,1.69172,0.95481,5.3618e-05,5.3618e-05,5.3618e-05
13,459.37,1.33847,1.88691,0.98713,0.50223,0.28456,0.27065,0.19582,1.27336,1.64896,0.94954,4.9856e-05,4.9856e-05,4.9856e-05
14,494.466,1.33145,1.85817,0.98141,0.53181,0.27546,0.28493,0.20503,1.26212,1.60088,0.94756,4.6094e-05,4.6094e-05,4.6094e-05
15,529.492,1.31813,1.80647,0.97651,0.58249,0.2767,0.28805,0.20691,1.25745,1.55991,0.94786,4.2332e-05,4.2332e-05,4.2332e-05
16,567.256,1.27786,1.88145,0.9589,0.53295,0.27473,0.28409,0.20462,1.25341,1.5784,0.94537,3.857e-05,3.857e-05,3.857e-05
17,601.269,1.26211,1.78425,0.95537,0.54794,0.3026,0.30425,0.21742,1.24276,1.50862,0.94251,3.4808e-05,3.4808e-05,3.4808e-05
18,635.068,1.25414,1.74181,0.9542,0.57091,0.28731,0.30256,0.21432,1.24306,1.5099,0.94437,3.1046e-05,3.1046e-05,3.1046e-05
19,668.724,1.24916,1.71223,0.94978,0.49853,0.3021,0.30006,0.214,1.24492,1.52584,0.94157,2.7284e-05,2.7284e-05,2.7284e-05
20,702.524,1.24253,1.68956,0.94844,0.5465,0.30959,0.3128,0.22377,1.22786,1.46816,0.94036,2.3522e-05,2.3522e-05,2.3522e-05
21,736.323,1.23429,1.64872,0.9485,0.55464,0.30596,0.32012,0.22816,1.22661,1.45892,0.94036,1.976e-05,1.976e-05,1.976e-05
22,770.156,1.22688,1.63854,0.94377,0.5361,0.3178,0.32108,0.22832,1.22469,1.44655,0.94131,1.5998e-05,1.5998e-05,1.5998e-05
23,804.129,1.22308,1.61718,0.9437,0.54009,0.31485,0.32414,0.23207,1.2201,1.43692,0.93837,1.2236e-05,1.2236e-05,1.2236e-05
24,837.83,1.22113,1.60817,0.94325,0.56456,0.31494,0.32744,0.2345,1.21969,1.42995,0.93765,8.474e-06,8.474e-06,8.474e-06
25,871.644,1.21137,1.58914,0.94139,0.54141,0.3202,0.32839,0.23581,1.21646,1.42305,0.93686,4.712e-06,4.712e-06,4.712e-06
